trial,amplitude,chi2,status
0,1.4362368187977497,36.29888725463381,ok
1,1.508291225161123,36.06529467309346,ok
2,1.6564520488506576,51.718776798812556,ok
3,1.6867258249162393,44.170828475736556,ok
4,1.4525349655630622,47.56434749130105,ok
5,1.4206280447766364,36.60938829285747,ok
6,1.6053103418123325,34.63713203675078,ok
7,1.47952916688701,42.34565423592561,ok
8,1.794483328827921,42.59253748767158,ok
9,1.6627909869217294,38.78922416460156,ok
10,1.8797594607926493,40.35633949377912,ok
11,1.5429095496143228,36.35788242953267,ok
12,1.3984468237959664,38.48235217508203,ok
13,1.412307635764976,38.686790747797346,ok
14,1.7965337185439467,39.70087585117341,ok
15,1.762569407243534,48.466499452829,ok
16,1.6404040015051131,37.69151646028506,ok
17,1.2146691812420431,40.2011827420461,ok
18,1.5898245402415911,52.57025976910019,ok
19,1.4651325956960104,42.21115510963162,ok
