dataset,model,AIC_delta,akaike_weight
LHCb-2015,FREE_C9,0.2411,0.469903
LHCb-2015,VFD_GREEN_600CELL,0.0000,0.530097
LHCb-2021-Kstplus,FREE_C9,0.0000,0.520988
LHCb-2021-Kstplus,VFD_GREEN_600CELL,0.1680,0.479012
CMS-2025-noP4p,FREE_C9,0.0000,0.558896
CMS-2025-noP4p,VFD_GREEN_600CELL,0.4734,0.441104
LHCb-2025,FREE_C9,0.0000,0.633273
LHCb-2025,VFD_GREEN_600CELL,1.0926,0.366727
Bs2phi-LHCb-2015,FREE_C9,0.2398,0.470064
Bs2phi-LHCb-2015,VFD_GREEN_600CELL,0.0000,0.529936

STACKED,model,log_evidence_relative,stacked_weight
STACKED,FREE_C9,-0.2404,0.651705
STACKED,VFD_GREEN_600CELL,-0.8670,0.348295
