dataset,decay,model,n_data,k_params,chi2,aic,bic,delta_aic_vs_FREE_C9,A_or_DC9,DC9_eff_mean,evaluation
LHCb-2015,B0->K*mumu,FREE_C9,32,1,30.69104835960865,32.69104835960865,34.15678426240838,0.0,-1.0796559803655492,-1.0796559803655492,nonlinear
LHCb-2015,B0->K*mumu,VFD_GREEN_600CELL,32,1,30.44997954027135,32.44997954027135,33.91571544307108,-0.2410688193373005,1.2351656343327724,-1.0594594291435075,nonlinear
LHCb-2021-Kstplus,B+->K*+mumu,FREE_C9,32,1,22.76511589608483,24.76511589608483,26.230851798884554,0.0,-1.8196686329963627,-1.8196686329963627,nonlinear
LHCb-2021-Kstplus,B+->K*+mumu,VFD_GREEN_600CELL,32,1,22.933115662733215,24.933115662733215,26.39885156553294,0.16799976664838567,2.0590483622185975,-1.7661422418001522,nonlinear
CMS-2025-noP4p,B0->K*mumu,FREE_C9,18,1,43.73143845773427,45.73143845773427,46.62181021563043,0.0,-0.9538642637928241,-0.9538642637928241,nonlinear
CMS-2025-noP4p,B0->K*mumu,VFD_GREEN_600CELL,18,1,44.204803092857155,46.204803092857155,47.09517485075332,0.4733646351228842,1.0529012801102575,-0.9175406194436901,nonlinear
LHCb-2025,B0->K*mumu,FREE_C9,32,1,40.89068922835959,42.89068922835959,44.35642513115932,0.0,-1.0025621703516263,-1.0025621703516263,nonlinear
LHCb-2025,B0->K*mumu,VFD_GREEN_600CELL,32,1,41.98325352735016,43.98325352735016,45.44898943014989,1.0925642989905668,1.1347865735154061,-0.9733349611093625,nonlinear
Bs2phi-LHCb-2015,Bs->phimumu,FREE_C9,24,1,13.201397760357471,15.201397760357471,16.37945159070542,0.0,-4.121891268879767,-4.121891268879767,nonlinear
Bs2phi-LHCb-2015,Bs->phimumu,VFD_GREEN_600CELL,24,1,12.961624102342121,14.961624102342121,16.139677932690066,-0.23977365801535022,4.98442594875091,-4.331132308287093,nonlinear
